model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_gold_turns,first_gold_turn,last_gold_turn,gold_coverage
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,2,found_kept_failed,0,0.8974358974358975,65,36,3,55,1.0
gpt-5.5,low,baseline,eicrud-keyset-pagination-cursor,0,found_kept_failed,0,0.967032967032967,37,14,6,28,0.571
gpt-5.5,low,baseline,etree-xml-diff-patch,0,found_kept_failed,0,0.9402985074626866,17,15,1,15,0.375
gpt-5.5,low,baseline,etree-xml-diff-patch,1,found_kept_failed,0,0.9253731343283582,19,16,2,17,0.25
gpt-5.5,low,baseline,etree-xml-diff-patch,2,found_kept_failed,0,0.9850746268656716,22,18,2,19,0.25
gpt-5.5,low,baseline,expr-try-catch-errors,0,found_kept_failed,0,0.9991106957675148,38,22,3,33,0.667
gpt-5.5,low,baseline,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.9920513604402323,50,26,5,38,1.0
gpt-5.5,low,baseline,fastapi-implicit-head-options,0,found_kept_failed,0,0.9949638023292414,49,33,3,45,0.75
gpt-5.5,low,baseline,fastapi-implicit-head-options,1,found_kept_failed,0,0.9896128423040604,51,31,1,46,0.75
gpt-5.5,low,baseline,fastapi-implicit-head-options,2,found_kept_failed,0,0.9987409505823104,63,34,1,56,0.75
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.993421052631579,49,16,4,45,1.0
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,1,found_kept_failed,0,0.993421052631579,32,13,4,25,1.0
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,2,found_kept_failed,0,0.993421052631579,35,19,4,30,1.0
gpt-5.5,low,baseline,geo-shapeindex-serialization,0,found_kept_failed,0,0.9839486356340289,29,7,6,24,0.714
gpt-5.5,low,baseline,go-critic-doc-link-checker,0,solved,1,1.0,45,8,5,39,1.0
gpt-5.5,low,baseline,go-genai-streamed-function-args,0,found_kept_failed,0,0.9558823529411765,29,13,5,27,0.75
gpt-5.5,low,baseline,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.8421052631578947,36,12,2,34,1.0
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,0,solved,1,1.0,43,16,3,33,0.5
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,1,solved,1,1.0,39,14,3,29,0.5
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,2,solved,1,1.0,39,18,3,32,0.5
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9951690821256038,46,24,3,39,1.0
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,1,found_kept_failed,0,0.9818840579710145,44,21,2,38,0.857
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,2,found_kept_failed,0,0.9963768115942029,48,23,5,36,0.857
gpt-5.5,low,baseline,happy-dom-abort-pending-body-reads,0,solved,1,1.0,42,11,4,23,0.833
gpt-5.5,low,baseline,happy-dom-deterministic-intersectionobserver,0,solved,1,1.0,29,6,5,24,0.25
gpt-5.5,low,baseline,helm-array-merge-strategies,0,found_kept_failed,0,0.7966101694915254,43,25,2,36,0.857
gpt-5.5,low,baseline,helm-unified-manifest-stream,0,solved,1,1.0,40,22,2,32,0.8
gpt-5.5,low,baseline,httpx-deterministic-cookie-store,0,solved,1,1.0,43,22,3,37,0.8
gpt-5.5,low,baseline,httpx-multipart-response-parsing,0,solved,1,1.0,36,13,3,31,0.6
gpt-5.5,low,baseline,httpx-streaming-json-iteration,0,found_then_lost,0,0.9993386243386243,29,6,3,21,0.333
gpt-5.5,low,baseline,httpx-streaming-json-iteration,1,solved,1,1.0,39,7,5,23,0.333
gpt-5.5,low,baseline,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9973544973544973,47,13,4,42,0.333
gpt-5.5,low,baseline,igel-persist-feature-schema,0,solved,1,1.0,41,21,4,28,0.8
gpt-5.5,low,baseline,ink-grid-box-layout,0,found_then_lost,0,0.8783783783783784,43,6,2,30,0.667
gpt-5.5,low,baseline,ipython-session-bundle-replay,0,found_then_lost,0,0.9782608695652174,34,6,5,15,0.667
gpt-5.5,low,baseline,katex-multicolumn-array-spans,0,found_kept_failed,0,0.9942279942279942,45,18,2,39,0.5
gpt-5.5,low,baseline,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.9285714285714286,16,13,1,15,0.667
gpt-5.5,low,baseline,kea-atomic-signal-selectors,0,found_then_lost,0,0.9337748344370861,34,11,2,17,0.5
gpt-5.5,low,baseline,kea-atomic-signal-selectors,1,found_kept_failed,0,0.9271523178807947,29,13,4,25,0.5
gpt-5.5,low,baseline,kea-atomic-signal-selectors,2,found_kept_failed,0,0.9933774834437086,43,14,3,37,0.75
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,38,18,2,33,0.556
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,1,found_kept_failed,0,0.9907407407407407,42,14,2,36,0.556
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,2,found_then_lost,0,0.9907407407407407,28,8,3,16,0.556
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,0,solved,1,1.0,45,29,3,40,1.0
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,1,found_kept_failed,0,0.99867197875166,40,28,3,34,1.0
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,2,found_kept_failed,0,0.99867197875166,39,28,3,34,1.0
gpt-5.5,low,baseline,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9952956989247311,35,20,3,29,0.8
gpt-5.5,low,baseline,koota-composite-trait-aspects,0,found_kept_failed,0,0.9237668161434978,38,25,3,34,0.562
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.964824120603015,30,17,5,25,0.857
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,1,found_kept_failed,0,0.9698492462311558,44,23,3,38,0.857
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,2,found_kept_failed,0,0.9698492462311558,39,24,5,35,0.857
gpt-5.5,low,baseline,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9923664122137404,32,13,3,27,1.0
gpt-5.5,low,baseline,koota-pair-relation-tracking,0,found_kept_failed,0,0.819047619047619,76,32,4,70,0.667
gpt-5.5,low,baseline,koota-query-predicates,0,found_kept_failed,0,0.9906976744186047,65,43,3,60,0.8
gpt-5.5,low,baseline,kysely-window-grouping-helpers,0,solved,1,1.0,60,27,5,54,0.667
gpt-5.5,low,baseline,langchain-request-coalescing,0,found_kept_failed,0,0.9858156028368794,35,14,2,28,0.75
gpt-5.5,low,baseline,langchain-request-coalescing,1,found_kept_failed,0,0.9929078014184397,29,14,2,23,0.75
gpt-5.5,low,baseline,langchain-request-coalescing,2,solved,1,1.0,47,18,2,42,0.75
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9981715425531915,53,25,5,43,0.333
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,1,found_kept_failed,0,0.9997340425531915,33,13,5,26,0.333
gpt-5.5,low,baseline,mashumaro-flattened-dataclass-fields,2,found_kept_failed,0,0.9996010638297872,51,25,5,47,0.333
gpt-5.5,low,baseline,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9998641251601382,62,31,3,53,0.833
gpt-5.5,low,baseline,mnamer-daemon-watch-lifecycle,0,solved,1,1.0,21,8,2,16,1.0
gpt-5.5,low,baseline,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9932356257046223,31,19,3,23,1.0
gpt-5.5,low,baseline,narwhals-rolling-window-suite,0,found_kept_failed,0,0.9988230678697528,63,39,3,60,1.0
gpt-5.5,low,baseline,numba-stencil-boundary-modes,0,solved,1,1.0,60,25,4,56,0.667
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,39,11,3,37,0.8
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,1,found_kept_failed,0,0.9650170648464164,32,12,3,29,1.0
gpt-5.5,low,baseline,obsidian-linter-auto-table-of-contents,2,found_kept_failed,0,0.9650170648464164,36,8,3,33,0.8
gpt-5.5,low,baseline,obsidian-linter-link-format-conversion,0,solved,1,1.0,43,6,13,35,0.667
gpt-5.5,low,baseline,obsidian-linter-scoped-ignore-markers,0,found_then_lost,0,0.9716981132075472,29,9,4,15,0.333
gpt-5.5,low,baseline,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.9666666666666667,43,17,3,39,0.667
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.9886363636363636,30,15,3,25,0.455
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,1,found_kept_failed,0,0.9886363636363636,34,16,3,30,0.636
gpt-5.5,low,baseline,onedump-dump-encryption-pipeline,2,found_kept_failed,0,0.9659090909090909,27,12,4,21,0.455
gpt-5.5,low,baseline,opa-rego-rule-profiling,0,found_kept_failed,0,0.9032258064516129,55,25,4,50,1.0
gpt-5.5,low,baseline,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,46,8,4,37,0.25
gpt-5.5,low,baseline,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9995169082125603,59,33,2,53,0.6
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,0,found_kept_failed,0,0.9558823529411765,38,10,4,33,0.667
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,1,found_kept_failed,0,0.9117647058823529,39,9,4,29,0.667
gpt-5.5,low,baseline,oxvg-structural-selector-preservation,2,found_kept_failed,0,0.9558823529411765,30,8,3,24,0.667
gpt-5.5,low,baseline,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.9959016393442623,26,13,2,23,0.214
gpt-5.5,low,baseline,pebble-durability-wait-apis,0,found_kept_failed,0,0.9805825242718447,82,68,2,79,1.0
gpt-5.5,low,baseline,pest-character-class-coalescing,0,found_kept_failed,0,0.9887005649717514,27,11,3,20,0.5
gpt-5.5,low,baseline,prometheus-transactional-reload-status,0,solved,1,1.0,60,24,3,32,0.3
gpt-5.5,low,baseline,prometheus-typed-label-sorting,0,found_then_lost,0,0.9777777777777777,22,4,3,9,0.333
gpt-5.5,low,baseline,prometheus-typed-label-sorting,1,found_then_lost,0,0.9555555555555556,23,4,5,13,0.333
gpt-5.5,low,baseline,prometheus-typed-label-sorting,2,found_then_lost,0,0.9555555555555556,24,3,3,8,0.333
gpt-5.5,low,baseline,psd-tools-blend-range-api,0,found_then_lost,0,0.9970703125,33,13,3,20,1.0
gpt-5.5,low,baseline,pwntools-tube-multiplexing,0,found_kept_failed,0,0.972972972972973,23,12,2,18,1.0
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9977908689248896,75,44,4,69,0.812
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,1,found_kept_failed,0,0.9779086892488954,61,34,1,55,0.812
gpt-5.5,low,baseline,python-statemachine-state-data-scoping,2,found_kept_failed,0,0.975699558173785,44,25,3,38,0.562
gpt-5.5,low,baseline,query-persist-restored-query-state,0,solved,1,1.0,42,17,3,23,0.667
gpt-5.5,low,baseline,quill-shared-toolbar-focus,0,found_kept_failed,0,0.8571428571428571,28,10,3,24,0.375
gpt-5.5,low,baseline,returns-validated-error-accumulation,0,found_kept_failed,0,0.9863636363636363,35,14,10,29,1.0
gpt-5.5,low,baseline,scc-bounded-memory-spilling,0,solved,1,1.0,44,26,4,42,0.25
gpt-5.5,low,baseline,scriggo-method-declarations,0,found_kept_failed,0,0.9544211485870556,46,23,4,40,0.556
gpt-5.5,low,baseline,skrub-duration-encoding,0,solved,1,1.0,52,20,3,46,1.0
gpt-5.5,low,baseline,sql-formatter-bigquery-pipe-formatting,0,solved,1,1.0,48,24,4,43,0.636
gpt-5.5,low,baseline,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,0,0.9969348659003832,29,10,4,25,0.556
gpt-5.5,low,baseline,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.9954462659380692,60,33,4,53,1.0
gpt-5.5,low,baseline,superjson-error-stack-serialization,0,found_kept_failed,0,0.9897959183673469,36,14,3,31,0.667
gpt-5.5,low,baseline,task-task-graph-export,0,solved,1,1.0,33,15,4,30,1.0
gpt-5.5,low,baseline,tengo-callable-instance-isolation,0,found_kept_failed,0,0.9448275862068966,42,35,1,40,0.75
gpt-5.5,low,baseline,tengo-destructuring-bindings,0,found_kept_failed,0,0.7130044843049327,41,25,1,39,0.833
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9590163934426229,25,9,2,22,0.375
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,1,found_kept_failed,0,0.9918032786885246,25,8,2,20,0.375
gpt-5.5,low,baseline,termenv-preserve-ansi-resets,2,found_kept_failed,0,0.8442622950819673,20,12,2,18,0.5
gpt-5.5,low,baseline,testem-bail-on-test-failure,0,found_kept_failed,0,0.9758203799654577,47,30,4,36,0.778
gpt-5.5,low,baseline,testem-per-launcher-reports,0,found_kept_failed,0,0.99812734082397,40,23,4,34,1.0
gpt-5.5,low,baseline,textual-kitty-key-phases,0,found_then_lost,0,0.9,29,10,3,19,0.571
gpt-5.5,low,baseline,textual-kitty-key-phases,1,found_then_lost,0,0.85,28,9,4,19,0.571
gpt-5.5,low,baseline,textual-kitty-key-phases,2,found_kept_failed,0,0.9,34,14,3,30,0.714
gpt-5.5,low,baseline,textual-richlog-follow-state,0,found_kept_failed,0,0.9615384615384616,29,12,3,24,1.0
gpt-5.5,low,baseline,tomlkit-toml-table-converters,0,found_kept_failed,0,0.9853515625,34,10,4,27,1.0
gpt-5.5,low,baseline,true-myth-iterable-collection-combinators,0,solved,1,1.0,35,20,3,30,1.0
gpt-5.5,low,baseline,ts-pattern-match-each,0,found_then_lost,0,0.989010989010989,23,5,3,8,0.8
gpt-5.5,low,baseline,ts-pattern-match-each,1,solved,1,1.0,31,6,3,24,1.0
gpt-5.5,low,baseline,ts-pattern-match-each,2,found_then_lost,0,0.989010989010989,26,6,3,9,0.8
gpt-5.5,low,baseline,updo-policy-alerting,0,found_kept_failed,0,0.9928571428571429,34,22,2,30,0.556
gpt-5.5,low,baseline,updo-policy-alerting,1,found_kept_failed,0,0.9857142857142858,36,17,3,30,0.444
gpt-5.5,low,baseline,updo-policy-alerting,2,found_kept_failed,0,0.9428571428571428,15,11,2,14,0.444
gpt-5.5,low,baseline,valibot-recursive-schema-composition,0,found_kept_failed,0,0.9954337899543378,59,36,2,53,0.421
gpt-5.5,low,baseline,vitest-duration-sharding,0,solved,1,1.0,48,31,2,46,1.0
gpt-5.5,low,baseline,vulture-persistent-analysis-cache,0,found_kept_failed,0,0.9623824451410659,29,17,2,24,1.0
gpt-5.5,low,baseline,wasmi-trap-coredumps,0,found_kept_failed,0,0.825,47,23,3,41,0.571
gpt-5.5,low,baseline,wasmi-trap-coredumps,1,found_kept_failed,0,0.825,46,19,3,41,0.571
gpt-5.5,low,baseline,wasmi-trap-coredumps,2,found_then_lost,0,0.825,41,16,3,26,0.571
gpt-5.5,low,baseline,wazero-multi-module-snapshots,0,found_kept_failed,0,0.975,21,8,6,17,0.143
gpt-5.5,low,baseline,wazero-multi-module-snapshots,1,solved,1,1.0,18,5,7,13,0.143
gpt-5.5,low,baseline,wazero-multi-module-snapshots,2,solved,1,1.0,18,6,7,15,0.143
gpt-5.5,low,baseline,yaegi-go-embed-directives,0,found_then_lost,0,0.8125,46,6,3,24,1.0
gpt-5.5,low,baseline,yjs-map-conflict-detection,0,found_kept_failed,0,0.9958333333333333,47,26,3,42,0.75
gpt-5.5,low,baseline,yjs-map-conflict-detection,1,found_kept_failed,0,0.9958333333333333,37,23,3,30,1.0
gpt-5.5,low,baseline,yjs-map-conflict-detection,2,solved,1,1.0,50,29,3,46,1.0
gpt-5.5,low,baseline,ytt-jsonpath-query-api,0,solved,1,1.0,24,3,7,15,0.4
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,0,solved,1,1.0,44,27,2,41,1.0
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,1,solved,1,1.0,38,22,2,36,1.0
gpt-5.5,low,observational-memory-gpt55-low,actionlint-action-pinning-lint,2,found_kept_failed,0,0.915,34,24,2,31,1.0
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,0,found_then_lost,0,0.9834710743801653,42,2,13,15,0.333
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,1,found_kept_failed,0,0.9834710743801653,46,7,12,35,0.667
gpt-5.5,low,observational-memory-gpt55-low,anko-default-function-arguments,2,found_kept_failed,0,0.9834710743801653,60,11,16,47,0.667
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,0,solved,1,1.0,30,13,3,25,1.0
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,1,found_kept_failed,0,0.9946236559139785,40,19,3,30,1.0
gpt-5.5,low,observational-memory-gpt55-low,awilix-async-container-initialization,2,solved,1,1.0,43,16,3,37,1.0
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.9583333333333334,72,44,3,68,0.8
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.9583333333333334,67,42,3,62,1.0
gpt-5.5,low,observational-memory-gpt55-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.75,67,36,4,61,0.8
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,28,9,4,24,0.667
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,1,solved,1,1.0,32,12,4,27,0.667
gpt-5.5,low,observational-memory-gpt55-low,cattrs-partial-structuring-recovery,2,solved,1,1.0,45,18,3,40,0.667
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9831288343558282,83,53,3,78,0.75
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_kept_failed,0,0.9961656441717791,66,48,3,62,0.75
gpt-5.5,low,observational-memory-gpt55-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_kept_failed,0,0.9815950920245399,82,48,4,71,0.833
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.909663204280768,63,35,2,57,0.75
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9937047529115518,53,29,1,45,0.75
gpt-5.5,low,observational-memory-gpt55-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.9933899905571294,64,43,2,61,0.75
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,0,found_kept_failed,0,0.998015873015873,35,8,4,26,0.333
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,1,found_kept_failed,0,0.998015873015873,40,10,4,34,0.667
gpt-5.5,low,observational-memory-gpt55-low,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9986772486772487,32,11,4,27,0.333
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,45,22,3,41,0.556
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,38,12,2,25,0.556
gpt-5.5,low,observational-memory-gpt55-low,kgateway-consistent-hash-policy,2,solved,1,1.0,39,15,2,29,0.556
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.9998337765957447,44,16,5,28,0.667
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,1,found_kept_failed,0,0.9999002659574469,34,12,4,30,0.333
gpt-5.5,low,observational-memory-gpt55-low,mashumaro-flattened-dataclass-fields,2,found_kept_failed,0,0.9999667553191489,49,20,5,44,0.333
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,0,solved,1,1.0,20,6,3,10,0.8
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,1,solved,1,1.0,22,5,3,9,0.8
gpt-5.5,low,observational-memory-gpt55-low,ts-pattern-match-each,2,solved,1,1.0,25,6,3,16,0.8
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,0,solved,1,1.0,48,24,3,44,0.625
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,1,found_kept_failed,0,0.9875,39,24,3,34,1.0
gpt-5.5,low,observational-memory-gpt55-low,yjs-map-conflict-detection,2,found_kept_failed,0,0.9958333333333333,50,29,3,43,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,abs-module-cache-flags,0,found_then_lost,0,0.8260869565217391,34,10,3,25,0.75
gpt-5.5,low,observational-memory-gpt54mini-low,abs-stepped-slices,0,solved,1,1.0,25,12,3,18,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,solved,1,1.0,37,20,2,33,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,1,solved,1,1.0,37,22,3,34,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,2,solved,1,1.0,44,28,2,41,1.0
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9978432782171099,76,42,4,65,0.857
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,1,found_kept_failed,0,0.9949676491732566,87,45,3,66,0.857
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,2,found_kept_failed,0,0.994608195542775,69,37,4,61,0.714
