cell_id,result_path,task,config,rep,model,thinking_level,language,category,reward_binary,reward_partial,total_tokens,turns,tool_calls,agent_wall_s,agent_exit,agent_timed_out,agent_resource_exhausted,verifier_exit,patch_bytes,session_count,session_path,session_bytes,identity_mismatches,has_model_patch,has_verifier_directory,has_verifier_reward,has_verifier_ctrf,has_verifier_log,resource_policy_present,primary_disposition
Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep1/result.json,participle-grammar-conflict-analysis,baseline-laguna-s21,1,local-vllm/poolside/Laguna-S-2.1-INT4,high,go,feature_request,0,0.6844262295081968,9619429,84,96,2914.3,0,False,,0,41276,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep1/session/2026-07-23T06-07-21-916Z_019f8d95-f13c-7640-af2f-d45d4a679c4e.jsonl,1081452,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep2,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep2/result.json,participle-grammar-conflict-analysis,baseline-laguna-s21,2,local-vllm/poolside/Laguna-S-2.1-INT4,high,go,feature_request,0,0.9836065573770492,7946263,71,86,1372.8,0,False,,0,42973,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/participle-grammar-conflict-analysis/rep2/session/2026-07-23T06-56-08-504Z_019f8dc2-9938-7765-bb3c-a232fdb58391.jsonl,692787,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep0,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep0/result.json,superjson-error-stack-serialization,baseline-laguna-s21,0,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,0,0.923469387755102,6001928,56,68,1534.6,0,False,,0,57893,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep0/session/2026-07-22T20-28-11-063Z_019f8b83-afb7-7aaa-8da1-c0678fdac09f.jsonl,697416,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep1/result.json,superjson-error-stack-serialization,baseline-laguna-s21,1,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,0,0.6275510204081632,2034094,35,46,3002.4,0,False,,0,13132,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep1/session/2026-07-23T03-18-42-395Z_019f8cfb-87db-7b3d-9ca0-089e9f955a09.jsonl,1071839,,True,True,True,True,True,False,eligible
Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep2,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep2/result.json,superjson-error-stack-serialization,baseline-laguna-s21,2,local-vllm/poolside/Laguna-S-2.1-INT4,high,typescript,feature_request,-1,0.0,409226,14,23,2982.6,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep2/session/2026-07-23T04-08-47-634Z_019f8d29-6312-7b77-99b7-9bb2cd48dbf7.jsonl,1087427,,True,True,False,False,False,False,verifier_skipped_empty_patch
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/result.json,abs-module-cache-flags,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,enhancement,0,0.5652173913043478,5262810,70,77,5100.1,0,False,,0,8387440,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-26T05-34-18-554Z_019f026b-f9ba-70bc-9c4b-dbd059e4da12.jsonl,505750,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-stepped-slices/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-stepped-slices/rep0/result.json,abs-stepped-slices,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,0,0.9166666666666666,10938922,116,119,4928.2,0,False,,0,21402,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-stepped-slices/rep0/session/2026-06-26T05-34-18-662Z_019f026b-fa26-77df-8f45-a1c812e2ccb7.jsonl,694845,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/actionlint-action-pinning-lint/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/actionlint-action-pinning-lint/rep0/result.json,actionlint-action-pinning-lint,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,-1,0.0,571410,25,41,2522.3,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/actionlint-action-pinning-lint/rep0/session/2026-06-26T06-19-19-624Z_019f0295-30c7-732d-8d50-7ba0fc386cad.jsonl,193023,,True,True,False,False,False,False,verifier_skipped_empty_patch
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/adaptix-name-mapping-aliases/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/adaptix-name-mapping-aliases/rep0/result.json,adaptix-name-mapping-aliases,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,0,0.9938892882818117,10359406,136,143,5330.1,0,False,,0,27867,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/adaptix-name-mapping-aliases/rep0/session/2026-06-26T06-59-27-515Z_019f02b9-ee9b-7528-a9f9-efb2d249d04b.jsonl,681276,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/aiomonitor-task-snapshots-diff/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/aiomonitor-task-snapshots-diff/rep0/result.json,aiomonitor-task-snapshots-diff,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,0,0.8852459016393442,2987579,65,74,3099.2,0,False,,0,38247,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/aiomonitor-task-snapshots-diff/rep0/session/2026-06-26T07-04-27-741Z_019f02be-835d-772f-8026-2e318c151f78.jsonl,413779,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/anko-default-function-arguments/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/anko-default-function-arguments/rep0/result.json,anko-default-function-arguments,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,0,0.47107438016528924,11653096,120,127,2868.6,0,False,,0,112541,2,,0,,True,True,True,True,True,False,ambiguous_multiple_sessions
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/anko-typed-variable-bindings/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/anko-typed-variable-bindings/rep0/result.json,anko-typed-variable-bindings,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,0,0.970873786407767,10798665,103,102,2906.9,0,False,,0,389874,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/anko-typed-variable-bindings/rep0/session/2026-06-26T08-28-37-860Z_019f030b-9264-7292-8043-22cedf4f8f2f.jsonl,615850,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/arcane-drift-detection-baselines/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/arcane-drift-detection-baselines/rep0/result.json,arcane-drift-detection-baselines,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,0,0.023809523809523808,855308,35,75,1964.5,0,False,,0,12696,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/arcane-drift-detection-baselines/rep0/session/2026-06-26T09-17-13-146Z_019f0338-0e3a-720b-89f1-9c38bb7c102f.jsonl,179979,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/arktype-json-schema-refs-dependencies/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/arktype-json-schema-refs-dependencies/rep0/result.json,arktype-json-schema-refs-dependencies,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,typescript,feature_request,0,0.9853286384976526,5404206,107,122,1436.8,0,False,,0,44926,2,,0,,True,True,True,True,True,False,ambiguous_multiple_sessions
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/awilix-async-container-initialization/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/awilix-async-container-initialization/rep0/result.json,awilix-async-container-initialization,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,typescript,feature_request,0,0.978494623655914,6081303,116,125,3490.1,0,False,,0,39423,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/awilix-async-container-initialization/rep0/session/2026-06-26T10-03-46-963Z_019f0362-af93-7212-8280-6d65e1a7c0a2.jsonl,539138,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-incremental-cache-control/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-incremental-cache-control/rep0/result.json,bandit-incremental-cache-control,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,0,0.9504132231404959,6133637,104,121,3077.9,0,False,,0,51427,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-incremental-cache-control/rep0/session/2026-06-26T13-49-31-114Z_019f0431-5a6a-7042-8b50-0509a4cd1196.jsonl,503996,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-interprocedural-taint-checks/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-interprocedural-taint-checks/rep0/result.json,bandit-interprocedural-taint-checks,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,-1,0.0,265934,16,27,1619.8,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-interprocedural-taint-checks/rep0/session/2026-06-26T13-49-31-143Z_019f0431-5a87-7100-9983-54b9903b8a10.jsonl,189068,,True,True,False,False,False,False,verifier_skipped_empty_patch
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-structured-nosec-directives/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-structured-nosec-directives/rep0/result.json,bandit-structured-nosec-directives,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,-1,0.0,363432,20,31,1628.8,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/bandit-structured-nosec-directives/rep0/session/2026-06-26T14-16-32-382Z_019f044a-177e-79ca-ae04-99c4a9984cff.jsonl,173846,,True,True,False,False,False,False,verifier_skipped_empty_patch
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/boa-hierarchical-evaluation-cancellation/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/boa-hierarchical-evaluation-cancellation/rep0/result.json,boa-hierarchical-evaluation-cancellation,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,rust,feature_request,0,0.0,2441555,34,42,2968.7,0,False,,0,14774,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/boa-hierarchical-evaluation-cancellation/rep0/session/2026-06-26T14-41-17-923Z_019f0460-c262-74bb-a547-adaf4064e4af.jsonl,606136,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cattrs-partial-structuring-recovery/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cattrs-partial-structuring-recovery/rep0/result.json,cattrs-partial-structuring-recovery,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,feature_request,0,0.631578947368421,8195759,107,115,4007.7,0,False,,0,38546,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cattrs-partial-structuring-recovery/rep0/session/2026-06-26T14-49-54-689Z_019f0468-a501-7e94-aed9-b5f63c9dab31.jsonl,632335,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/clack-async-autocomplete-options/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/clack-async-autocomplete-options/rep0/result.json,clack-async-autocomplete-options,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,typescript,feature_request,-1,0.0,127587,14,24,1393.5,0,False,,skipped_empty_patch,0,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/clack-async-autocomplete-options/rep0/session/2026-06-26T15-30-59-539Z_019f048e-4153-79ab-8e04-4de18cd9be88.jsonl,99663,,True,True,False,False,False,False,verifier_skipped_empty_patch
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/claude-code-by-agents-recursive-delegation/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/claude-code-by-agents-recursive-delegation/rep0/result.json,claude-code-by-agents-recursive-delegation,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,typescript,feature_request,0,0.8157894736842105,2206778,43,52,1689.4,0,False,,0,35491,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/claude-code-by-agents-recursive-delegation/rep0/session/2026-06-26T15-54-13-633Z_019f04a3-8701-73b2-ad64-0c25c1912816.jsonl,340981,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cliffy-config-file-parsing/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cliffy-config-file-parsing/rep0/result.json,cliffy-config-file-parsing,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,typescript,feature_request,0,0.9815573770491803,9796664,121,128,3425.0,0,False,,0,33394,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/cliffy-config-file-parsing/rep0/session/2026-06-26T16-07-36-697Z_019f04af-c7f9-7fb3-ad5e-7796eae98186.jsonl,609012,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/csstree-shorthand-expansion-compression/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/csstree-shorthand-expansion-compression/rep0/result.json,csstree-shorthand-expansion-compression,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,javascript,feature_request,0,0.9959509348576873,934082,43,64,3242.4,0,False,,0,9778,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/csstree-shorthand-expansion-compression/rep0/session/2026-06-26T16-22-29-405Z_019f04bd-671d-75b1-8b23-973bb74e47eb.jsonl,223076,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dasel-html-document-format/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dasel-html-document-format/rep0/result.json,dasel-html-document-format,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,go,feature_request,0,0.697754749568221,2281665,61,70,1341.1,0,False,,0,46175,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dasel-html-document-format/rep0/session/2026-06-26T16-57-46-886Z_019f04dd-b686-7d5a-ba98-a451fe9206b7.jsonl,246866,,True,True,True,True,True,False,eligible
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dateutil-rfc5545-timezone-interop/rep0,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dateutil-rfc5545-timezone-interop/rep0/result.json,dateutil-rfc5545-timezone-interop,baseline-preamble-orchestration,0,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,python,enhancement,0,0.9914367269267365,7796180,101,105,5000.4,0,False,,0,30419,1,/home/will/evals/deep-swe-bench/results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/dateutil-rfc5545-timezone-interop/rep0/session/2026-06-26T17-16-35-287Z_019f04ee-ee57-75ee-b9bf-2a6e5f63197b.jsonl,640895,,True,True,True,True,True,False,eligible
