pass_rate	language	slug	repository	title
32	python	mashumaro-flattened-dataclass-fields	Fatal1ty/mashumaro	Add flattened dataclass fields to Mashumaro field options
33	typescript	clack-async-autocomplete-options	bombshell-dev/clack	Add async autocomplete options and fetch lifecycle handling
35	typescript	kea-atomic-signal-selectors	keajs/kea	Add atomic signal selectors to Kea
36	python	langchain-request-coalescing	langchain-ai/langchain	Add request coalescing to `Runnable`
36	go	onedump-dump-encryption-pipeline	liweiyi88/onedump	Add transparent encryption to dump uploads
37	python	python-statemachine-state-data-scoping	fgmacedo/python-statemachine	Add scoped state data to state machine callbacks and history
37	python	textual-kitty-key-phases	Textualize/textual	Complete Kitty keyboard phases and stable fallback key metadata
38	typescript	awilix-async-container-initialization	jeffijoe/awilix	Add dependency-aware async initialization to the container
38	typescript	eicrud-keyset-pagination-cursor	eicrud/eicrud	Add keyset cursor pagination to `$find`
40	go	prometheus-typed-label-sorting	prometheus/prometheus	Fix PromQL label sorting across typed and untyped values
42	typescript	cliffy-config-file-parsing	c4spar/cliffy	Add config file parsing to Cliffy commands
43	go	kgateway-consistent-hash-policy	kgateway-dev/kgateway	Add consistent hash policy support to TrafficPolicy
44	rust	fd-deterministic-multi-key-sorting	sharkdp/fd	Add deterministic multi-key sorting to fd
44	typescript	claude-code-by-agents-recursive-delegation	baryhuang/claude-code-by-agents	Implement recursive agent delegation through delegate_task tool calls
45	python	mnamer-daemon-watch-lifecycle	jkwill87/mnamer	Validate daemon watch, status, and log lifecycle
46	python	ipython-session-bundle-replay	ipython/ipython	Add session bundle recording and replay to IPython
47	python	fastapi-implicit-head-options	fastapi/fastapi	Add implicit HEAD and automatic OPTIONS responses to FastAPI routes
48	rust	boa-hierarchical-evaluation-cancellation	boa-dev/boa	Add hierarchical evaluation cancellation to Boa
48	python	bandit-interprocedural-taint-checks	PyCQA/bandit	Add interprocedural taint checks for Bandit injection sinks
49	go	anko-typed-variable-bindings	mattn/anko	Add typed variable bindings to Anko
51	go	go-critic-doc-link-checker	go-critic/go-critic	Add a checker for broken doc comment links
51	python	bandit-incremental-cache-control	PyCQA/bandit	Add incremental cache controls to Bandit
52	go	tengo-destructuring-bindings	d5/tengo	Add destructuring bindings to Tengo
52	go	yaegi-go-embed-directives	traefik/yaegi	Add go:embed directive support for interpreted packages
52	python	mobly-grouped-test-barriers	google/mobly	Add grouped test phases with synchronized barriers
52	python	sqlite-utils-safe-import-checkpoints	simonw/sqlite-utils	Add safe import checkpoints and invariant validation
53	python	igel-persist-feature-schema	nidhaloff/igel	Persist the fitted feature schema across evaluate, predict, serve, and export
54	python	fastapi-deprecation-response-headers	fastapi/fastapi	Add deprecation, sunset, and successor headers to FastAPI routes
54	go	pebble-durability-wait-apis	cockroachdb/pebble	Add durability callbacks and wait APIs for sync writes
55	go	scriggo-method-declarations	open2b/scriggo	Add method declarations and interface dispatch to Scriggo
55	go	go-git-worktree-merge-conflicts	go-git/go-git	Add worktree merge conflict handling
56	python	kombu-single-active-consumer-priority	celery/kombu	Add single-active-consumer priority and cancel tracking to virtual transports
57	python	skrub-duration-encoding	skrub-data/skrub	Add duration encoding to TableVectorizer
59	go	dasel-html-document-format	TomWright/dasel	Add HTML document format handling to Dasel
60	python	numba-stencil-boundary-modes	numba/numba	Add boundary modes to `@stencil`
60	go	scc-bounded-memory-spilling	boyter/scc	Add bounded-memory spilling to SCC aggregation
60	go	tengo-callable-instance-isolation	d5/tengo	Fix isolated Go-side calls for Tengo callables and closures
62	go	geo-shapeindex-serialization	golang/geo	Add ShapeIndex encoding and decoding
62	python	httpx-multipart-response-parsing	encode/httpx	Add multipart response parsing to HTTPX
62	typescript	query-persist-restored-query-state	TanStack/query	Preserve restored query state in persisted snapshots
62	python	textual-richlog-follow-state	Textualize/textual	Restore RichLog follow-state parity and expand reflow behavior
63	go	opa-template-string-reconstruction	open-policy-agent/opa	Reconstruct template strings in partial evaluation output
64	go	arcane-drift-detection-baselines	getarcaneapp/arcane	Add drift detection and compliance baselines
64	go	opa-rego-rule-profiling	open-policy-agent/opa	Add rule evaluation profiling to Rego
65	typescript	dynamodb-toolbox-conditional-attribute-requirements	dynamodb-toolbox/dynamodb-toolbox	Add conditional required attributes to schemas
65	typescript	valibot-recursive-schema-composition	open-circle/valibot	Add recursive schema composition to Valibot
67	typescript	dynamodb-toolbox-lazy-recursive-schemas	dynamodb-toolbox/dynamodb-toolbox	Add lazy recursive schemas with DTO and JSON Schema export
67	python	cattrs-partial-structuring-recovery	python-attrs/cattrs	Add partial structuring with error recovery to cattrs
68	go	etree-xml-diff-patch	beevik/etree	Add XML diff, patch, and merge operations to etree
68	rust	wasmi-trap-coredumps	wasmi-labs/wasmi	Add trap coredump generation to wasmi
69	typescript	ts-pattern-match-each	gvergnaud/ts-pattern	Add `matchEach` to ts-pattern
69	python	adaptix-name-mapping-aliases	reagento/adaptix	Add input key aliases to name mapping
69	go	goreleaser-retry-publish-auditing	goreleaser/goreleaser	Add retry-aware publishing audit logs
70	python	aiomonitor-task-snapshots-diff	aio-libs/aiomonitor	Add task snapshots, inspection, and diffing to aiomonitor
70	go	go-genai-streamed-function-args	googleapis/go-genai	Expose accumulated streamed function-call args in SDK surfaces
71	python	tomlkit-toml-table-converters	python-poetry/tomlkit	Add bidirectional TOML table converters
71	go	anko-default-function-arguments	mattn/anko	Add default arguments to Anko function parameters
71	javascript	yjs-map-conflict-detection	yjs/yjs	Add deterministic map conflict detection to Y.Map writes
71	typescript	kysely-window-grouping-helpers	kysely-org/kysely	Add grouping-set and window-frame SQL helpers
71	go	kcp-go-multiplexed-kcp-streams	xtaci/kcp-go	Add multiplexed ordered streams over KCP
71	go	abs-stepped-slices	abs-lang/abs	Add stepped slices for arrays and strings
73	go	wazero-multi-module-snapshots	wazero/wazero	Add multi-module memory snapshots to wazero
73	typescript	obsidian-linter-scoped-ignore-markers	platers/obsidian-linter	Add scoped per-rule ignore markers to Obsidian Linter
74	go	abs-module-cache-flags	abs-lang/abs	Harden module loading, cache introspection, and script flags
75	go	task-task-graph-export	go-task/task	Add task graph export with JSON, DOT, and text output
77	typescript	ofetch-per-origin-circuit-breaker	unjs/ofetch	Add a per-origin circuit breaker to ofetch
79	go	ytt-jsonpath-query-api	carvel-dev/ytt	Add JSONPath query APIs to orderedmap and Starlark modules
80	go	helm-unified-manifest-stream	helm/helm	Add unified manifest stream output across Helm commands
81	typescript	httpx-deterministic-cookie-store	encode/httpx	Add a deterministic CookieStore with modern Set-Cookie parsing
81	javascript	testem-per-launcher-reports	testem/testem	Partition report files by launcher and expand report templates
82	go	actionlint-action-pinning-lint	rhysd/actionlint	Add action pinning linting for actions and reusable workflows
82	python	returns-validated-error-accumulation	dry-python/returns	Add an error-accumulating Validated container
82	typescript	vitest-duration-sharding	vitest-dev/vitest	Add duration-aware sharding to Vitest
83	typescript	sql-formatter-bigquery-pipe-formatting	sql-formatter-org/sql-formatter	Format BigQuery pipe syntax queries correctly
85	typescript	drizzle-orm-window-function-builders	drizzle-team/drizzle-orm	Add typed window function builders with OVER clauses
86	python	koota-entity-snapshot-rollback	pmndrs/koota	Add entity snapshot and rollback APIs to Koota
86	python	psd-tools-blend-range-api	psd-tools/psd-tools	Add typed blend range access and blend-if compositing
91	typescript	true-myth-iterable-collection-combinators	true-myth/true-myth	Add iterable collection combinators to true-myth
92	python	narwhals-rolling-window-suite	narwhals-dev/narwhals	Add rolling min, max, median, and quantile methods
93	typescript	happy-dom-abort-pending-body-reads	capricorn86/happy-dom	Abort pending body reads on shutdown
