topic_id,task,size_observations,configs,cells,primary_type,member_configs,representative_doc_id,representative_text
actionlint-action-pinning-lint-topic-010,actionlint-action-pinning-lint,9,6,9,code_structure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-off;observational-memory-gpt54mini-off;observational-memory-gpt55-low,e243a1b74df66afb03c774dd573e3c94,"Codebase detail: popular_actions.go (generated, DO NOT EDIT) defines PopularActions map[string]*ActionMetadata keyed by spec owner/repo@ref (e.g. ""actions/checkout@v4""), used for known-version suggestions and action metadata."
actionlint-action-pinning-lint-topic-011,actionlint-action-pinning-lint,1,1,1,other,observational-memory-glm52-high,f6f68bb5f38e1354b7e4f59f95949e1b,"Task details: When action name itself is an expression, skip entirely. When only the version ref is a dynamic expression, flag it as a dynamic expression that cannot be verified for pinning. Config supports `allowed-owners` (case-insensitive), `allowed-actions` (`owner/repo`), `denied-owners`, `denied-actions`. Global and per-path allowed/denied lists merge by union; denials take precedence over allowances but denied entries are still subject to pinning checks."
actionlint-action-pinning-lint-topic-012,actionlint-action-pinning-lint,38,12,33,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-off;observational-memory-gpt55-xhigh,0882b22c9f2e558ca8fb767b8f9128b7,completed: assistant created and switched to branch `action-pinning` from `main` to begin the requested work.
actionlint-action-pinning-lint-topic-013,actionlint-action-pinning-lint,8,5,8,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,64da1ff74a4cad36a0abfb2f054ee98c,"Codebase exploration: The project is actionlint, a Go linter for GitHub Actions workflows. Config struct is in config.go with PathConfig for per-path overrides (currently only has `Ignore`). ParseConfig validates glob patterns in `paths`. Rules embed RuleBase (rule.go) which provides VisitStep/VisitJobPre/VisitJobPost callbacks, Error/Errorf, SetConfig/Config. RuleAction (rule_action.go) parses `uses:` specs into owner/repo/ref and checks against PopularActions. ExecAction struct (ast.go:454) has `Uses *String`. Job struct (ast.go:876) has `WorkflowCall *WorkflowCall`. Rules are registered in linter.go:558-585."
actionlint-action-pinning-lint-topic-014,actionlint-action-pinning-lint,12,7,12,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-off;observational-memory-gpt55-xhigh,07e39b9d2778ee6bc6fd8badf4a880f2,"rule_action.go: RuleAction (name ""action"") has VisitStep that handles uses: refs. It skips if Uses.ContainsExpression(), routes ./ to checkLocalAction, docker:// to checkDockerAction, and everything else to checkRepoAction. checkRepoAction parses {owner}/{repo}@{ref} or {owner}/{repo}/{path}@{ref} and looks up PopularActions[spec]. This VisitStep is where step-level action pinning checks should hook in."
actionlint-action-pinning-lint-topic-015,actionlint-action-pinning-lint,27,10,25,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-off,1ac81a72fa8fa80181fda987e9cbacc7,"Began implementation by creating rule_action_pinning.go with an initial RuleActionPinning that defines the three pinning levels and regexes, visits step actions and job reusable workflow uses, skips local and Docker refs plus expression-based action names, errors on dynamic ref expressions, applies allow and deny owner and action bypass logic, checks stricter-level satisfaction, and suggests a known pinned version from PopularActions when available."
actionlint-action-pinning-lint-topic-016,actionlint-action-pinning-lint,26,10,22,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-off,e25ff2a885b74189aee52c9353bb61d8,"completed: Modified config.go to add ActionPinningConfig struct (Level, AllowedOwners, AllowedActions, DeniedOwners, DeniedActions fields with yaml tags), added ActionPinning field to both Config and PathConfig structs, added validateActionPinningConfig function (checks valid level, owners without slashes, owner/repo format for actions), and wired validation into ParseConfig for both global and per-path configs."
actionlint-action-pinning-lint-topic-017,actionlint-action-pinning-lint,22,10,20,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-off,476a60584676a667072cb858d1ae0fbd,"completed: Modified linter.go to add ActionPinningLevel string field to LinterOptions and actionPinningLevel to Linter struct, validate the level in NewLinter, and register NewRuleActionPinning(path, l.actionPinningLevel) in the rules list right after NewRuleAction."
actionlint-action-pinning-lint-topic-018,actionlint-action-pinning-lint,16,6,16,implementation_state,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-off,5eea99c01211450c0cbe107fe34e7050,"completed: Modified command.go to add -action-pinning-level CLI flag (StringVar, default empty) with help text 'Override action-pinning level (major-minor, semver, commit-sha) and enable the rule'."
actionlint-action-pinning-lint-topic-019,actionlint-action-pinning-lint,23,10,22,test_failure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-off,d0b9ebd14ab6f9730412f59ed7bf01cc,"BLOCKER: go test ./... fails on TestLinterFormatErrorMessageInSARIF because the new action-pinning rule now appears in the SARIF rules list output (id ""action-pinning"", name ""ActionPinning""). The SARIF test fixture or expected output needs updating to account for the additional rule entry."
actionlint-action-pinning-lint-topic-020,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-high,1a1d0b4f91028111adf132c71dcd5116,Codebase detail: WorkflowCall struct (ast.go:848) has Uses *String field for reusable workflow references. Linter struct uses positional struct literal in NewLinter (linter.go:170-183). Rules are instantiated in lintRules at linter.go:558-585 and config is applied via r.SetConfig(cfg) at linter.go:610.
actionlint-action-pinning-lint-topic-021,actionlint-action-pinning-lint,20,9,18,task_requirement,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,e2a7fd255c6b64b4dc487bbe48c65ccd,"User specified `action-pinning: null` keeps the rule disabled, `action-pinning: {}` enables defaults, and per-path entries using `action-pinning` enable the rule even without a global section."
actionlint-action-pinning-lint-topic-022,actionlint-action-pinning-lint,23,11,23,test_failure,observational-memory-glm52-high;observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-low;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt54mini-low;observational-memory-gpt54mini-off;observational-memory-gpt54mini-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-xhigh,11b01767344fb12e232e63f5744c932f,"User required config validation to reject invalid action-pinning levels, owner entries containing slashes, and malformed owner/repo entries in both allowed and denied lists; error messages should distinguish reusable workflows from step actions."
actionlint-action-pinning-lint-topic-023,actionlint-action-pinning-lint,1,1,1,other,observational-memory-glm52-high,e0ac7a17f913046e0d305cfda1c0aeb8,"The existing RuleAction.VisitStep already handles the `./` (local action) and `docker://` (docker action) prefixes separately from repo actions, and skips specs that contain expressions entirely. This existing logic is relevant context for the action-pinning rule."
actionlint-action-pinning-lint-topic-024,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-high,1551a2441f600d07531672de065f6e87,The golden SARIF file at testdata/format/test.sarif needs to be updated to include the new action-pinning rule entry (after 'action' and before 'credentials' in the rules array). Assistant was reading the file to prepare the update.
actionlint-action-pinning-lint-topic-025,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,b1ed7d31807b3b50f11eac94c63e0f14,Codebase exploration: Config struct is in config.go with PathConfig for per-path overrides via a `paths` map (glob patterns). ParseConfig validates glob patterns. There is no existing `action-pinning` config section; it will need to be added to Config and PathConfig.
actionlint-action-pinning-lint-topic-026,actionlint-action-pinning-lint,5,3,5,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54mini-off,e7857cf220787904a156c92086cd8b2e,"Codebase exploration: CLI flags are defined in command.go via flag.NewFlagSet (around line 134-148); LinterOptions struct holds options. Known flag names include -ignore, -shellcheck, -pyflakes, -oneline, -format, -config-file, -init-config, -no-color, -color, -verbose, -debug, -version, -stdin-filename. A new -action-pinning-level flag is needed."
actionlint-action-pinning-lint-topic-027,actionlint-action-pinning-lint,8,5,8,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt55-low;observational-memory-gpt55-off;observational-memory-gpt55-xhigh,cecef606eae6cbc3f0fba399adbab8c7,Codebase exploration: ExecAction.Uses (*String) in ast.go (~line 456) holds the step action `uses:` ref; WorkflowCall.Uses (*String) in ast.go (~line 849) holds the job-level reusable workflow `uses:` ref. rule_action.go parses the spec into owner/repo/ref (around line 320-380) and already handles ContainsExpression checks on Uses.
actionlint-action-pinning-lint-topic-028,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,6e3b76752f10babf68d13050a77d626f,"rule_action_pinning.go shouldCheck() logic: denied owners/actions always return true (stay checked); if no allowed lists exist return true; otherwise return true only when the name is NOT in allowed lists, meaning allowed entries are skipped from pinning checks. Owner matching is case-insensitive via containsFold."
actionlint-action-pinning-lint-topic-029,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,9946dd8daf693165ad7b268e404a6d89,added helper configEnablesActionPinning(cfg) to linter.go: returns true if cfg.ActionPinning != nil or any cfg.Paths entry has a non-nil ActionPinning.
actionlint-action-pinning-lint-topic-030,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,a806e193e9adbc7ce5be9c6cf8e44e67,completed: full test suite passes (go test ./... ok). All packages green including the previously-failing SARIF test.
actionlint-action-pinning-lint-topic-031,actionlint-action-pinning-lint,3,2,3,test_failure,observational-memory-glm52-max;observational-memory-gpt55-low,2c8bc379d9a0129542e0393d7f9520c0,Started writing tests for the action-pinning rule by examining rule_deprecated_commands_test.go as a template for test structure (table-driven tests using go-cmp diff).
actionlint-action-pinning-lint-topic-032,actionlint-action-pinning-lint,11,4,11,code_structure,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt55-low;observational-memory-gpt55-off,0a22ff744a32d36226b7852c690ef964,"Config (config.go): the Config struct has SelfHostedRunner, ConfigVariables, and Paths (map[string]PathConfig). PathConfig currently only has an Ignore field. ParseConfig validates glob patterns in paths but no action-pinning config exists yet."
actionlint-action-pinning-lint-topic-033,actionlint-action-pinning-lint,3,3,3,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54mini-off,2d581c4bebbf62a87cbf3fac035f1f1d,"RuleWorkflowCall (rule_workflow_call.go) handles reusable workflow calls at jobs level via VisitJobPre. It checks n.WorkflowCall.Uses with isWorkflowCallUsesLocalFormat and isWorkflowCallUsesRepoFormat helpers. NewRuleWorkflowCall(path, cache) registered in linter.go at line 569."
actionlint-action-pinning-lint-topic-034,actionlint-action-pinning-lint,3,2,3,implementation_state,observational-memory-glm52-max;observational-memory-gpt55-off,dc45e5f5579bc95dccbc79661054394b,"Explored command.go CLI flag registration: flags are registered in Command.Main (command.go ~line 130) via a flag.NewFlagSet; existing flags include -shellcheck, -pyflakes, -oneline, -format, -config-file, -init-config, -no-color, -color, -verbose, -debug, -version, -stdin-filename, -ignore. LinterOptions struct holds the parsed options."
actionlint-action-pinning-lint-topic-035,actionlint-action-pinning-lint,1,1,1,self_reported_completion,observational-memory-glm52-max,e67fc65bc1abc5629e0702760663c43d,Completed: assistant created branch action-pinning from main; working tree was clean on main before branching. Note: rg command is not available in this environment (use grep).
actionlint-action-pinning-lint-topic-036,actionlint-action-pinning-lint,3,1,3,implementation_state,observational-memory-glm52-max,6410a27f3fd239a2682bdf45fc3a4fa4,"In ast.go, the WorkflowCall struct (around line 849) has a Uses *String field representing the reusable workflow specification. ExecAction (line 456) also has Uses *String. Both are the targets for action-pinning checks: WorkflowCall.Uses for job-level reusable workflows, ExecAction.Uses for step actions."
actionlint-action-pinning-lint-topic-037,actionlint-action-pinning-lint,1,1,1,task_requirement,observational-memory-glm52-max,e0d604dec765e6f164a96648a2101e93,rule.go: RuleBase provides SetConfig/Config methods and the Rule interface requires SetConfig. Rules receive config via SetConfig(cfg) during linting. The action-pinning rule must read its config from the Config passed via SetConfig.
actionlint-action-pinning-lint-topic-038,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,17e9d070be8699b5f8c3a7e0d903b9e6,"linter.go check() method (around line 545-580) instantiates the rules slice (NewRuleMatrix, NewRuleCredentials, ..., NewRuleAction(localActions), NewRuleWorkflowCall, etc.), calls SetConfig(cfg) on each when cfg is non-nil, and applies cfg.PathConfigs(path) for error filtering. New rules must be registered in this slice; PathConfig needs an action-pinning field for per-path overrides."
actionlint-action-pinning-lint-topic-039,actionlint-action-pinning-lint,2,2,2,test_failure,observational-memory-glm52-max;observational-memory-glm52-off,e1bff04a9e6ccbfbd235437312273665,First test run failed: TestLinterFormatErrorMessageInSARIF expected the rule list without action-pinning because the rule was unconditionally registered. Fix: made rule registration conditional on override or config enabling it. After fix all tests pass.
actionlint-action-pinning-lint-topic-040,actionlint-action-pinning-lint,2,2,2,test_failure,observational-memory-glm52-max;observational-memory-glm52-off,2234b8a8a3ac9f5e2595545cf9f25057,Completed: all tests pass after gofmt and go test ./... (github.com/rhysd/actionlint ok 0.304s).
actionlint-action-pinning-lint-topic-041,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,4ea1512e93d391ece332b1de89bf4df5,"Completed: wrote rule_action_pinning_test.go with comprehensive test coverage including refSatisfies regex behavior, config validation, allow/deny precedence and union merging, CLI flag, path config enablement, step vs reusable workflow message distinction, and linter integration via NewLinter."
actionlint-action-pinning-lint-topic-042,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,9bf1344145bde6ffab3cf6f096157b8e,Known regex quirk: the semver regex in rule_action_pinning.go (rePinSemver ^v[0-9]+\.[0-9]+\.[0-9]+(?:[-+][0-9A-Za-z.-]+)?$) accepts a single prerelease or build suffix but NOT both simultaneously (e.g. v1.2.3-beta+build fails); tests document this as current behavior.
actionlint-action-pinning-lint-topic-043,actionlint-action-pinning-lint,1,1,1,code_structure,observational-memory-glm52-max,17d5845e8c353499ac9fbcaa6820c770,"Linter struct in linter.go is constructed via positional struct literal (not keyed fields) at line 190; onRulesCreated field is last field before the actionPinningLevel addition, so edits to the constructor needed exact trailing-field matching."
actionlint-action-pinning-lint-topic-044,actionlint-action-pinning-lint,3,2,3,test_failure,observational-memory-glm52-max;observational-memory-glm52-off,c881ce6d9d6092c6b235d65f4af92ec0,"RuleBase (rule.go) provides the base for all rules: VisitStep/VisitJobPre/VisitJobPost/VisitWorkflowPre/VisitWorkflowPost callbacks (all return nil by default), Error/Errorf for reporting, SetConfig/Config for config access. The Rule interface requires Pass, Errs, Name, Description, EnableDebug, SetConfig, Config."
actionlint-action-pinning-lint-topic-045,actionlint-action-pinning-lint,3,2,3,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off,ed1a0a2b249378902582310adc6a07e2,"ExecAction (ast.go) has Uses (*String), Inputs (map), Entrypoint, Args. WorkflowCall (ast.go) has Uses (*String), Inputs, Secrets, InheritSecrets. Job has WorkflowCall (*WorkflowCall) field for reusable workflow `uses:`. The String type has Value, Quoted, Pos and a ContainsExpression() method."
actionlint-action-pinning-lint-topic-046,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,42651e1de25542a191164269a42b7937,"Codebase detail: linter.go filterErrors (around line 640) filters errors via l.ignorePats (CLI -ignore) and per-path PathConfig Ignore patterns matched against error messages; errors then get Filepath set, sorted via compareErrors, and deduped via slices.CompactFunc. Config is passed to each rule via r.SetConfig(cfg) when cfg != nil."
actionlint-action-pinning-lint-topic-047,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,04e8d049395dd7eaa3f10530632a9828,"Codebase detail: config.go uses github.com/bmatcuk/doublestar/v4 for glob path matching (doublestar.MatchUnvalidated for matching, doublestar.ValidatePattern for validation). PathConfigs(path) returns matching PathConfig slice for a given file path."
actionlint-action-pinning-lint-topic-048,actionlint-action-pinning-lint,1,1,1,other,observational-memory-glm52-max,03717a96dca32c1741126cdf8a01cd68,Fixed major-minor regex from `^v\d+\.\d+(?:\D.*)?$` to `^v\d+\.\d+$` for stricter matching (exact vMAJOR.MINOR only).
actionlint-action-pinning-lint-topic-049,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,cf6b67d2a4fd74ae9999ad2843169a78,confirmed working: go test ./... passes after the conditional-rule-registration fix (0.368s for main package; all scripts ok).
actionlint-action-pinning-lint-topic-050,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,9474b8e922babc4bbc9f8ba2a52fb9ff,Reference detail: PopularActions is a generated map[string]*ActionMetadata keyed by owner/repo@ref specs in popular_actions.go; the rule uses it for known-version pinning suggestions.
actionlint-action-pinning-lint-topic-051,actionlint-action-pinning-lint,1,1,1,task_requirement,observational-memory-glm52-max,c1e944ad9b4a9d862d91e260700337dd,"The Rule interface (rule.go) requires Pass interface methods (VisitStep, VisitJobPre, VisitJobPost, VisitWorkflowPre, VisitWorkflowPost) plus Errs(), Name(), Description(), EnableDebug(io.Writer), SetConfig(*Config), Config(). RuleBase provides defaults and should be embedded. SetConfig populates the *Config to each rule."
actionlint-action-pinning-lint-topic-052,actionlint-action-pinning-lint,13,7,13,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt54-off;observational-memory-gpt54-xhigh;observational-memory-gpt55-low;observational-memory-gpt55-off;observational-memory-gpt55-xhigh,2740d9b8dd9d67b1ec04b1eff9f6282b,"Environment lacks ripgrep: running rg returned /bin/bash: line 1: rg: command not found, so grep was used instead."
actionlint-action-pinning-lint-topic-053,actionlint-action-pinning-lint,3,3,3,implementation_state,observational-memory-glm52-max;observational-memory-glm52-off;observational-memory-gpt55-xhigh,1c71a5c0d8e400ad7ba5fa399036411e,User instructed to work on this in a new branch from main and commit everything when done.
actionlint-action-pinning-lint-topic-054,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,15927d19f37547d6b617d51c127f3fcf,Config.PathConfigs(path) returns matching PathConfig values by doublestar glob match against the file path. This is the mechanism per-path configs use.
actionlint-action-pinning-lint-topic-055,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,8d31e76ee14bcf0663d4e2b5a6cd4c45,Rule pattern: rules embed RuleBase (rule.go:10) which provides default VisitStep returning nil; rules implement the Rule interface (rule.go:100). New rules register a name and desc via RuleBase. The pass runner calls VisitStep at pass.go:139.
actionlint-action-pinning-lint-topic-056,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,dcb7cd6593cc81519ac844e01a19f336,"Key registration mechanism: rules are instantiated in Linter.lintFile (linter.go ~line 544-590) as []Rule, config is applied via r.SetConfig(cfg) for each rule, then NewVisitor adds each rule as a pass and calls v.Visit(w). Errors collected via rule.Errs() and filtered by filterErrors against cfg.PathConfigs(path)."
actionlint-action-pinning-lint-topic-057,actionlint-action-pinning-lint,1,1,1,other,observational-memory-glm52-max,e2d8616e5032e513bb7368e3a3d65159,"Rule wiring detail: in Linter.lintFile, after creating the []Rule slice, each rule gets config applied via r.SetConfig(cfg); the Visitor then runs all rules and collects errors via rule.Errs(). Errors are filtered through filterErrors(errs, cfg.PathConfigs(path)) before output."
actionlint-action-pinning-lint-topic-058,actionlint-action-pinning-lint,1,1,1,task_requirement,observational-memory-glm52-max,bf0b73ae196796b87875a16b13a61a1a,RuleAction.checkRepoAction parses {owner}/{repo}@{ref} or {owner}/{repo}/{path}@{ref} specs and looks up PopularActions metadata; this is the existing reference-parsing logic the pinning check will need to build on.
actionlint-action-pinning-lint-topic-059,actionlint-action-pinning-lint,1,1,1,implementation_state,observational-memory-glm52-max,f7544593d77ca08a541b13ce432a5743,"rule_action_pinning.go effectiveLevel() logic: CLI levelOverride takes precedence, then global cfg.ActionPinning, then per-path ActionPinning overrides (iterating cfg.PathConfigs(r.path)). enabled() returns true when effective level is non-empty. shouldCheck() merges allowed/denied owners and actions; denied entries still get checked (pinning enforced), and when allow-lists exist only listed owners/actions are checked."
actionlint-action-pinning-lint-topic-060,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-max,2c0dabe3fe034ee4c2fe74d6e80c9999,rule_action_pinning.go knownActionSuggestion(): for unpinned refs it iterates PopularActions keys matching the lowercase name prefix and suggests the known pinned version. A missing `@` ref (no version) produces error 'is not pinned because ref is missing' after checking allow/deny lists.
actionlint-action-pinning-lint-topic-061,actionlint-action-pinning-lint,1,1,1,test_failure,observational-memory-glm52-off,5e7f7c78d58fe2e8a3219adf71a02e0d,completed: all tests pass after gofmt and go test ./...
actionlint-action-pinning-lint-topic-062,actionlint-action-pinning-lint,3,3,3,code_structure,observational-memory-glm52-off;observational-memory-gpt55-low;observational-memory-gpt55-off,12d7d4cfeec6a081ba1a52d371e14476,"Agent inspected `linter.go` and found the built-in rules are instantiated in `Linter.check`, config is passed to each rule via `SetConfig`, and path-specific ignores are applied by `filterErrors(cfg.PathConfigs(path))`."
